  always ,  Reading #zizek before bed is always a recipe for a nice
  always ,  @rickygervais it's always a great way to start my day w/a cup of coffee and your tweets #Sarcasm&amp;HumorIsMagic #KindnessIsMagic Cheers!
  always ,  found my prom dress... always wanted to be a butterfly #sarcasm http. //t.co/r7tIFKqa85
  always ,  @mudy_anwar i'd always choose Aylesbury
  always ,  Love that #GH is on at 2pm so it can always get preempted. #sarcasm
  always ,  Always thinks of tweeting something lighter n funnier
  always ,  @ObamaBash She always seems to slip through the cracks Like #WhiteWater Oh yeah #Whatdifferencedoesitmakenow ? #sarcasm
  always ,  @RogerMasha Haha n u know
  always ,  Sleeping through my alarms always let's me have the greatest of mornings #sarcasm
  always ,  @YoshikoBernita thank you for spam it's the one I've always wanted #sarcasm
  always ,  Cause when I try to get up after diving for a ball I always lift my feet up first...... #sarcasm
  always ,  RT @justinfrape.  I feel like this #tbcc is approaching lame duck status... or all they always this ponderous? #sarcasm #tbay
  always ,  Always fun spending your Saturday sick in bed
  always ,  Will Manchester United score in 99th minute as always to keep up with everyone else? #Sarcasm #EPL
  always ,  It's always a good feeling when @PNCBank_Help calls to verify that I was at home depot in British Columbia a few moments ago... #sarcasm
  always ,  Hey @JBHiFi ...Thanks for putting your pricetags UNDER the clear plastic cover...Its always a good look when giving someone a gift! #sarcasm
  always ,  Good old XBOX always thinking about people before profits!!! #sarcasm [image] http. //t.co/iOMf3xt001
  always ,  @blessyouboys no way these beat writers usually always get it right the 1st time #Sarcasm
  always ,  It's always a fun time visit my grandpa. #sarcasm
  always ,  Fail once calm ongoing RT @bjheld.  The always reliable @charter cable coming thru in the clutch. #storm #packers #sarcasm
  always ,  It's always fun when someone rapidly knocks on my door making my dog bark  and waking me up. Sweet! #sarcasm
  always ,  Funny thing is I always hear shit about her. ..lol
  always ,  RT @saaamsu.  The weekend's always better working for @NDsportsscribe @MSUBeavers #sarcasm?
  always ,  People seem surprised of how bad sunderland is
  always ,  always look my best for college. #sarcastic
  always ,  I really appreciate auto DM's
  always ,  Always nice to know #sarcasm #minor #allowit
  always ,  @wwwfoecouk Its always nice to see retractions printed in the same brazen fashion as the original incorrect article #Sarcasm #Sun #Fracking
  always ,  Thierry Henry will always be one of the all time premier league greats
  always ,  Dad always say I can do whatever I want because I am a Murphy...but what happens when I get married and I'm not a Murphy anymore #sarcastic
  always ,  @ericsanture you always have such a positive outlook on life #notreally #sarcasm #debbiedowner
  always ,  @ruhee_ young white men are always being objectified. It's like we're just pieces of meat! #Sarcasm
  always ,  The sarcastic laugh
  always ,  Always get sick af at the perfect time #sarcasm
  always ,  My family always has the best Christmas spirit. #sarcasm  #alwaysfighting
  always ,  RT @Skittzy_Rae.  I just love how the public transportation I rely on is always on time.  #sarcasm
  always ,  @Drewaldikacti @Grahamfmorris @DainaLecuona you could always call on Chris Fishe
  always ,  @mikepavano @YankeesPR @Yankees @YESNetwork no silly
  always ,  ill love you forever if someone buys/does this for me wow thats awesome!!! thats what ive always wanted!!! #sarcasm
  always ,  I always kiss a pumpkin! #sarcasm http. //t.co/W54OP7BPS0
  always ,  No one ever knows what @modestmousie is thinking
  always ,  I'm always staying up. Sometimes I feel like a vampire.. #sarcastic
  always ,  Doing chores with a sore throat is always fun!!.. #sarcasm
  always ,  crying myself to sleep is always fun #sarcasm
  always ,  RT @amy_aims11.  A big shout out to the couple who always sits in front of me in my psy class
  always ,  Hate traffic at rush hour ! Always when I want to get home ! #annoying #rushhour  #LOL #sarcasm
  always ,  .@JoeHockey I just want you to tell us more about your expertise in economics. You always make sense when talking on tv #sarcasm
  always ,  i've always had REALLY GREAT luck #sarcasm
  always ,  @Mimi6929 can always count on good friends. #Sarcasm
  always ,  You wouldn't think a place like NYC would have a skunk problem but I always smell skunks here. Ive never seen one tho. Huh. #nyc #sarcasm
  always ,  Getting pulled over by a cop is always fun... #sarcasm
  always ,  That's always nice to see. #sarcasm #whatever
  always ,  @AthDawgMan @mrjasonbailey it's high level stuff
  always ,  @iankatz1000 @MrHarryCole a bikini is always my go to travel outfit #sarcasm
  always ,  RT @nmcoug.  @YCougsRule Vegas is usually Spokane south in March. Plus
  always ,  And we like the only black people plus we always late. Shows good support sure our race. #sarcasm
  always ,  RT @Ozzie_33.  @O_Alfonzo y isn't Jesse Jackson and Al Sharpton otw to Utah now? #Sarcasm cause of ppl like them
  always ,  why does the robot always holds the lady when there's an accident? Misandry #Sarcasm
  amazing ,  This movie is amazing.... #sarcasm #antz
  amazing ,  Amazing to see a QB make great decisions all game til the very end. #sarcasm
  amazing ,  Thanks to amazing and all-pro players like Tom Brady my fantasy team is 0-2. #sarcasm #patssuck
  amazing ,  2013 has been a good year
  amazing ,  What an amazing way to start the work week before your vacation. #sarcasm
  amazing ,  Wow the giants are doing amazing right now #sarcasm
  amazing ,  Our friends are Sooo amazing #sarcasm #again
  amazing ,  Well another amazing day here at college #sarcasm #thissucks
  amazing ,  @bradleyb97 @RockstarGames Its because of their amazing service... I mean top notch service #sarcasm
  amazing ,  This is the amazing state I live in...  http. //t.co/LuyPyHrcZS  #sarcasm
  amazing ,  It's amazing how articulate the #Auburn players are making their case to be in the title game. Grammar &amp; logic.  impeccable. #Sarcasm
  amazing ,  @vstyleblog @fatshamingweek Wow! Amazing!  #wordsmith seriously guuuurl
  amazing ,  Seriously tho
  amazing ,  My math grade is amazing #sarcasm #ihateschool #mybutthurts #mathsucks
  amazing ,  I obviously have a pretty amazing account so like I should have millions of followers right? #sarcasm
  amazing ,  I have an XC meet I didnt know I had today.. What an amazing day it has been? #sarcasm
  amazing ,  Awesome morning so far just amazing.  #sarcasm
  amazing ,  Being 18 is beyond amazing. Stood in line for a $7 cup of beer with drunken hooligans for 30mins
  amazing ,  wow @VestaxHQ customer service is amazing...sent 3 emails in 5 days with no response...great work guys #sarcasm #anybodyhome
  amazing ,  @JeremiahDaws If you wanna see amazing storytelling
  amazing ,  Waking up to that amazing pounding headache! Love it. #sarcasm
  amazing ,  @CamoRovak @IzzyWolfram Mondays are amazing! #sarcasm
  amazing ,  This bears defense is amazing #sarcasm
  amazing ,  @SInow amazing still shots. #sarcasm
  amazing ,  Look at this amazing snow storm I'm pretty sure this is the most snow I've ever seen #sarcasm
  amazing ,  Poor Mat Ryan And His Amazing Red Zone Offense!...#sarcasm
  amazing ,  @DrMRFrancis Wow
  amazing ,  RT @MBHORNSFAN.  The most amazing thing about the UT recruiting suge is Strong is doing all this without a helicopter. #Sarcasm #Swag
  amazing ,  @H_Howells87 @donna1ncafc Yeah go on then might as well. Let's get blown away by Chris Hemsworth's amazing acting. #sarcasm
  amazing ,  So this cuddle session with this pillow
  amazing ,  Being invisible is amazing #sarcasm
  amazing ,  It's amazing how many RQM parcels are being scanned as delivered without actually reaching the buyer. #sarcasm #TisTheSeasonToTryToScamMe
  amazing ,  @bonitamersiades It's amazing
  amazing ,  What an amazing day for a day off work!! Such a great day to...spring clean...yay! #sarcasm http. //t.co/L2wgF68s5k
  amazing ,  Girouds curve is amazing . ) #sarcasm
  amazing ,  This day has just been fucking amazing. #sarcasm
  amazing ,  Living on a building site is amazing when you have been on night shift as want to sleep #Sarcasm
  amazing ,  My laptop webcam is amazing
  amazing ,  Amazing how someone can guess your mood thru texting #Sarcasm
  amazing ,  Amazing #BlackFriday savings on the #Apple Store... Ok
  amazing ,  Than you see yourself on a international pornsite.. thanks to the guy who uploaded that vid.. your amazing! #sarcasm  #4life
  amazing ,  Just found 5 new grey hairs
  amazing ,  The City of Denton did an amazing job laying the road on North Texas Boulevard. Such a smooth ride. #sarcasm
  amazing ,  @HotShotTaylorAB nope
  amazing ,  That bug is so lifelike...amazing #sarcasm #svengoolie
  amazing ,  @RockstarGames    thanks for these amazing servers!   I hope this 5 hour load time is worth it!  #sarcasm
  amazing ,  @herbalnotes amazing dude! I was really chuffed with it! Couldn't have done it without you #sarcasm
  amazing ,  @theruckshow @AllBlacks it is really amazing that someone who is in negotiations with a team has been spotted talking to them #sarcasm
  amazing ,  That was amazing analysis from Booker T #sarcasm #WWETLC
  amazing ,  Why do bunters always get me looking so amazing in photos? #sarcastic
  amazing ,  @kennybelvin of course! You mean to tell me that you haven't seen the amazing offensive prowess this team has depth-wise!? #sarcasm
  amazing ,  @FlT365 @TumblrEdits and your hair grew 12 inches. Wow. Amazing. #sarcasm
  amazing ,  @bobfescoe what are you talking about? Kendrick Lewis is amazing. Should have been a pro bowler. #sarcasm
  amazing ,  RT @jodebbbommmb.  Feeling amazing this morning #sarcasm
  attractive ,  i hate blowing my nose in public. but i suppose it's better than dribbling snot everywhere. (damn i'm attractive #sarcasm #snotisnothot)
  attractive ,  well that's attractive... wish I would have went. #sarcasm #sorrynotsorry
  attractive ,  Fortunately for me
  attractive ,  RT @me_IKE_who_U.  Chicks walkin around campus smokin black &amp; milds. Very attractive.... #Sarcasm
  attractive ,  @MmDaawwgg_ I've never read/heard a girl say that's attractive #sarcasm
  attractive ,  How attractive are the people in school textbooks? #seriously #sarcasm
  attractive ,  The standard looking guys at this place are bold and short. Very attractive #sarcasm
  attractive ,  My snapchats to @OliiWhiteley tonight are so attractive! #sarcasm
  attractive ,  I'm so attractive #sarcasm http. //t.co/pPeDGBc7Zb
  attractive ,  I look sooooooo attractive rn. #sarcasm
  attractive ,  Okaaaaaaaayyyyyyyyyyyyyyyy don't even say goodnight back just say you too... I mean that's why your so attractive as hell!... #sarcasm
  attractive ,  @annabelxjustin very... Attractive #sarcasm
  attractive ,  Baseball players are such attractive gum chewers. Lol #sarcasm
  attractive ,  I honestly don't think I've ever looked as attractive as I have these past few days... #flu #rough #SARCASM!!! . '(
  attractive ,  @JaydeBastman4 @sam_krager i bet you look very attractive in a turtle neck hahahaha. #sarcasm
  attractive ,  @UberFacts Sounds attractive #sarcasm
  attractive ,  Oh yea
  attractive ,  Well aren't you a big bad girl smoking makes you look very attractive #sarcasm #stopbragging
  attractive ,  RT @kitty__cass.  @laurenmIlton that's a super attractive picture of me. #Sarcasm
  attractive ,  Way to go get drunk every weekend !!! That's so attractive for you girl !! #Sarcasm
  attractive ,  This MAY be the most attractive picture I've taken thus far on my new tablet #sarcasm #wtfDenver http. //t.co/eFwfUZwTkG
  attractive ,  Sitting covered in anti-histamine cream everywhere is obviously me at my most attractive #not #sarcasm #allergy #allergicreaction
  attractive ,  I have to have the most attractive feet in the world #sarcasm
  attractive ,  Man
  attractive ,  We're attractive.. #Sarcasm #Irish #MovieNight #Banter http. //t.co/AlhiCSCxQI
  attractive ,  The bus is almost completely empty. I assume the back of my head is particularly attractive today #romance #publictransport #sarcasm
  attractive ,  I actually thought I was attractive!!! #sarcasm
  attractive ,  Tong high school teachers are very attractive... #sarcasm #1DDayLive
  attractive ,  Theory.  @JRubinBlogger calls #NJ #GOP candidate unelectable b/c he didn't notice how attractive she is. #spite #sarcasm #revenge
  attractive ,  @Coppinator56 o yeah.... Its well attractive #sarcasm #tmi
  attractive ,  You can only find skinny
  awesome ,  My moms out of town the whole week this week. Awesome now i get to take care of her dogs. #sarcasm
  awesome ,  Despite heaters and wrapped faucets and everything
  awesome ,  Oh god.....WHY IS BIG SHOW IN THE WWE TITLE PICTURE!? And another Show / Orton feud
  awesome ,  I love how you make time for me. It's awesome. #sarcasm
  awesome ,  @apedmani new year in the rain - awesome #sarcasm
  awesome ,  Awesome! Get to listen to Dick Vitale call this game! #sarcasm #kubball
  awesome ,  Happy Birthday Eric. Thanks for being such an awesome brother. #sarcasm
  awesome ,  RT @MeganShough.  Starting to realize how awesome of a cook @TarynNeffy4 is. #sarcasm
  awesome ,  So  the debt ceiling was raised... awesome. #sarcasm
  awesome ,  These defenses are awesome! #sarcasm #RoseBowl
  awesome ,  than you to whoever left broccoli in the trash room our hall now smells awesome #sarcasm
  awesome ,  And now my mom is in the shower. Awesome. Tiffy is quite productive this morning. #Proud #Sarcasm
  awesome ,  The only thing more awesome then being woken up by screaming children
  awesome ,  Sitting there annoyed as fuck together with your whole family seems to  be so awesome. #family #birthday #sarcasm
  awesome ,  These QBs in this game are awesome... #sarcasm
  awesome ,  @LisaHorne @Pac12Networks Georgia is awesome! #sarcasm
  awesome ,  RT @YesItsTheLady.  Wat an awesome last Sunday of the year! #sarcastic
  awesome ,  @marcbiga reading tweets from people that travel two times a year complain about how bad airlines are is pretty awesome #sarcasm
  awesome ,  I have some really awesome friends... #Sarcasm
  awesome ,  It's really super awesome that I'm having tooth pain. I just love it. #sarcasm
  awesome ,  @BelleRivera1 lololol that's awesome! Ill get ones with rainbows n shit just because I'm that really peppy person... #sarcasm
  awesome ,  Anyways getting ready to work at my 2 awesome jobs #GREAT #sarcasm
  awesome ,  I love waking up at 5 am to throw up. Nothing feels more awesome than that. #sarcasm
  awesome ,  Waking up at 5am is so awesome guys. #sarcasm
  awesome ,  @adevey @PhilHecken awesome. There could be a penalty flag on every play and no one would notice #sarcasm
  awesome ,  Everyone on this @GreyhoundBus must now submit statements to the police. It's 1. 23am. Awesome. #sarcasm
  awesome ,  still crapping out on the Amazon FireTV ap.  super awesome.  thanks for that #sarcasm #ESPNFAIL @ESPNFrontRow #watchESPN #watchESPNfail
  awesome ,  Today was awesome. #sarcasm
  awesome ,  Walmart in the morning this should be awesome #soexcited #sarcasm
  awesome ,  First day of my week's vacation &amp; I woke up in the middle of the night sick. This is so awesome. #sarcasm
  awesome ,  That awesome soreness you get the day after a wrestling tournament. #sarcasm #sore
  awesome ,  This time of year is awesome
  awesome ,  Nothing beats this awesome feeling! #Sarcasm
  awesome ,  Awesome way to start the week. #sarcasm http. //t.co/td5KNnnP09
  awesome ,  I just love that STLCC is so awesome that we have class the day before thanksgiving and teachers aren't allowed to cancel #sarcasm
  awesome ,  Well that's awesome! So glad to hear! #sarcasm
  awesome ,  RT @arparker411.  Perfect. Awesome. #sarcasm
  awesome ,  You know a program was pretty awesome when you had a coffee before it and still fell asleep. #sarcasm #itriedittle
  awesome ,  Husband has been at work for 14 hours. Chef's hours around the holidays are awesome. #sarcasm
  awesome ,  @rollergirlmtl The greatest friends are those who only reach out to you when they need help with something. They are awesome! #sarcasm
  awesome ,  @assholeofday yeah divorcing my abusive bio dad and marrying my awesome Dad was the worst thing my mom ever did #sarcasm
  awesome ,  RT @mhliverpool.  Awesome Hendo #sarcasm
  awesome ,  Note to self .  3 hours of sleep are not enough to function properly 
  awesome ,  I've reached a whole new level of alone. Campus tour by myself
  awesome ,  Thanks @JosephChen_ for helping me with that awesome line up #sarcasm
  awesome ,  Man
  awesome ,  Cannot fall asleep. Work is going to be awesome tomorrow. #sarcasm #insomnia
  awesome ,  Great now I smell like sweat and cat pee awesome last job before vacation ...#sarcasm
  awesome ,  @jared02 yeah. Awesome. #sarcasm
  awesome ,  @needanewurl They are so awesome. #sarcasm http. //t.co/UZbJ3nZvNX
  awesome ,  I have 3
  awesome ,  VPN on hotel WiFi is pretty freaking awesome! #sarcasm
  awesome ,  @Knrhockey @allgfacts @vixy412 You are sooo awesome K #sarcasm??
  awesome ,  Awesome. I get to drive home in the snow. #excited #sarcasm
  awesome ,  We're off to an awesome start. #sarcasm
  awesome ,  Cold
  awesome ,  RT @mcfcpidge.  Liverpool's shooting heat map but De get is awesome #sarcasm  http. //t.co/Iam6rlFvnv
  awesome ,  @alastormspotter awesome that weather is on the way to #alabama #sarcasm
  awesome ,  It's just awesome when yours car won't start in the winter. #sarcasm #frustratedtweet
  awesome ,  What an awesome last day of summer. #sarcasm #rain
  awesome ,  Sounds like everyone's day was just as awesome as mine. #Sarcasm #IfYouMissedIt
  awesome ,  @hotairblog  A #RINO calling 2 #TeaParty #patriots rino's!  Hello kettle
  awesome ,  What an awesome start to the day #Sarcasm
  awesome ,  @otto_buchner did you just combine your gyming and drinking in a twitter post?? awesome points x2 #sarcasm #poser #stillnotasbigaswilliam
  awesome ,  Awesome playcall. #sarcasm
  awesome ,  Probably won't hear from you for the rest of the fricken day which is awesome #sarcasm
  awesome ,  Hours got cut at work so that's just really freaking awesome. #sarcasm
  awesome ,  My boyfriend is sooooo awesome
  awesome ,  My awesome work boots #hotstuff #sexyboots #sultrysteeltoe #industrialcouture #DirtIsTheNewBlack #sarcasm http. //t.co/H2rUHiEAps
  awesome ,  Having a gf/bf is unethical but marrying an unknown person n sleeping wid him/her on d 1st nite is okay!!Awesome!! #IndianMentality #Sarcasm
  awesome ,  That awesome moment when the red bull you drank 6 hours ago starts kicking in when you're trying to sleep #sarcasm
  awesome ,  More screens! Awesome! #sarcasm
  awesome ,  Awesome call refs #sarcasm #gocards #BelkBowl
  awesome ,  Great
  awesome ,  @CLTBeercast @JoshTheBeerSnob @jeffkissel @golphur Ugh recording? I was hoping to not drink awesome beer tonight. #sarcasm
  awesome ,  It's going to be awesome having nobody at my house after getting wisdom teeth out #sarcasm
  awesome ,  Wow this 4 day weekend is just awesome so far! NOT #sarcasm
  awesome ,  Everyone should know how awesome lady gaga is.....#sarcasm #comeonson
  awesome ,  When I send long texts and get don't shit back! Makes me feel awesome!!!! #sarcastic
  awesome ,  @TeamAdam76 @shanebee @RosaTaggart Beachcombers would be awesome. #sarcasm
  awesome ,  RT @WattsJeffreyL.  #DuckDynasty is the number one rated show in cable history...awesome and brilliant move @AETV #TCOT #Sarcasm
  awesome ,  Fuck Yeah! I Win The Whole Conversation Just By Answering His Shitty Questions Of So?. Dammit! Im Awesome!! xD
  awesome ,  YES! 58 yard reception by #17! Out of TOs...awesome #Sarcastic #NOvsCHI
  awesome ,  Awesome student section we got here tonight! #sarcasm
  awesome ,  -9 degrees upon rising..... Yeah
  awesome ,  Well today was just awesome. #sarcasm
  awesome ,  Just accidentally ripped a hole in my shirt... sent my day from awesome to fucking stellar. #sarcasm #fuckmylife
  awesome ,  And the one guy to make a good play is now outta the game awesome.... #sarcasm #WorldSeries #Cardinals
  awesome ,  @bombayboomstick is an awesome Indian and he will ace calc tomorrow because he needs to fulfill stereotypes #sarcasm #reallyyouareawesome
  awesome ,  Wow no invite to your awesome party either?? Damn I feel left out now somebody come cheer me up #downer #sarcasm
  awesome ,  The last three texts I've received have just been ok. This day is seriously awesome #sarcasm
  awesome ,  Awesome that after being off for 13 days that I feel better just in time for work. #sarcasm
  awesome ,  Really freaking awesome. #sarcasm
  awesome ,  That just put me in an awesome mood! #not #sarcasm
  awesome ,  Just awesome. #sarcasm #whitby #icestorm http. //t.co/wyimMQI7bl
  awesome ,  I know
  awesome ,  Great now these kids can witness one of my anxiety attacks.. This is just awesome . ) #sarcasm
  awesome ,  Awesome way to too off the day. #sike #sarcasm
  awesome ,  For all you health nuts out there
  awesome ,  Thanks for the awesome gift @bungie
  awesome ,  #sarcasm &amp; #truth RT @mchlebert.  Awesome we haven't won in Philly in 9 games and Chris Lee is the ref. #habs
  awesome ,  I love being late for class because the buses are packed. It's awesome #sarcasm
  awesome ,  Being replaced is awesome. #sarcasm
  awesome ,  Awesome! One of my FB friends just posted photos of her C-section. I've been waiting for weeks to see those pics! #sarcasm #AREYOUKIDDINGME?
  awesome ,  Those are some awesome graphics on @MileyCyrus performance
  awesome ,  Can't sleep...awesome #sarcasm
  awesome ,  yeah
  awesome ,  It is incredibly irritating to say no tomato and watch tomatoes being put on my sandwich. You're awesome @erbertgerberts #sarcasm
  awesome ,  Kansas is so awesome #sarcasm
  awesome ,  Seriously can we just have no school? Oh we wont ok awesome!!
  awesome ,  it's awesome having only 2 friends. #SARCASM
  awesome ,  Sweet. That's awesome to know. #sarcasm #done
  awesome ,  No words
  awesome ,  RT @Coach_Russell.  Maddie said I look like JWow and I got a red card tonight.... overall awesome night #sarcasm #nothappy
  awesome ,  So fucking awesome! Relationships are not a two way street. One person is always guna give up their true happiness for the other #sarcasm
  awesome ,  Just discovered an awesome new @feedly feature called
  awesome ,  It's realllllly awesome not knowing what you want and constantly being confused with life. #sarcasm
  awesome ,  shout out to the guy who switched my nose ring to a bigger gauge without telling me. super awesome. #sarcasm #freakingow
  awesome ,  Awww yeah! Greyhound has wifi now. It's awesome!  #Sarcasm http. //t.co/t6NiuW53X7
  beautiful ,  @mediaburst hahahaha that's just beautiful. No I hadn't even noticed. What a wonderful slice of the Internet. #sarcasm
  beautiful ,  Beautiful day to be out hanging these tree stands... #sarcasm #gettinghosed
  beautiful ,  The best thing about living in tattersall has to be the beautiful sound that the church bells make #sarcasm
  beautiful ,  The struggle is beautiful -let J.Cole tell it . / #sarcasm
  beautiful ,  TR's english! 1 word . D Beautiful #sarcasm
  beautiful ,  Cried over the most beautiful song I just heard . )  #DumbSongForMakingMeCry #Sarcasm
  beautiful ,  Enjoying the beautiful views of downtown Hartford. #sarcasm http. //t.co/Xmq7wdE4xY
  beautiful ,  This girl is beautiful #sarcasm
  beautiful ,  @kathygriffin I got curious and apparently she's also racist. Beautiful. #sarcasm
  beautiful ,  Good morning! Beautiful day out #sarcasm #bringbackthesun
  beautiful ,  @Trevorturner3 But they have to remind everyone how awesome and beautiful they are...it just wouldn't be right #sarcasm
  beautiful ,  @kellycartw_x Dont get ringing me now. Going in that beautiful meeting now #sarcasm
  best ,  #Zoolander was #VinceVaughn best performance. #hollywood #sarcasm
  best ,  According to James Harden
  best ,  For being my best friend we talk so much #sarcasm
  best ,  Being forgotten feels the best. #sarcasm
  best ,  RT @ncyoder1989.  The best quarterback in the NFL just lost in New England. Wow
  best ,  @Lane_Joe_Phipps is the best. Like seriously. And he did not just get into my phone and tweet on my behalf.... #sarcasm
  best ,  Jake is the best.
  best ,  Katie P and John M watching themselves on GMA. This is the best tv EVER. #sarcasm http. //t.co/AO5OcY12gn
  best ,  This sec defense is so good. Best conference in college football. #sarcasm
  best ,  Wedding rehearsal! The best part about pastoring! . ) #sarcasm http. //t.co/2aeEf78zNo
  best ,  I just want to welcome the best drinker &amp; tightest man Ive ever had the pleasure of meeting to Twitter @rosscunn11 #naaaatt #sarcasm #benson
  best ,  I guess the political experts on Facebook know what's best...#sarcasm
  best ,  Yup that's how best friends treat each other #sarcasm
  best ,  Best class ever! w/ @maddie_grayy 
  best ,  the best way to express sarcasm is using a hashtag that says you're being sarcastic. #sarcasm
  best ,  Aced my chem quiz - best Halloween ever! #Sarcasm
  best ,  If you're unsure how the target of your statement will respond
  best ,  #Bing is best search engine. Don't believe it? Then Google it and you will find the result! #sarcasm
  best ,  The best week of school is next week . D semester exams . D #sarcasm #SarcasticTweet #ibproblems
  best ,  @jacoby_holte best day ever! #sarcasm
  best ,  @Lexxaaayyyy_ @NWood95 @MikeyTaylor4 come on guys don't you know T.I. &amp; B.o.B are the best in the game #sarcasm
  best ,  TOR na lang ehh. Woooh! I love you Perps
  best ,  @MTVNews yeah sure #BlurredLines is the best song I've ever heard! #sarcasm
  best ,  I feel awful today . ( the best way to end the summer
  best ,  I mean average at best #sarcasm #queenb105 #beykilledit @Beyonce
  best ,  practice in 40 degree weather is just the best #sarcasm #frozen
  best ,  Thanks for being a great best friend! I deeply appreciate it!! #sarcastic
  best ,  RT @EmiGee3.  Hiccups are the best thing ever. I just absolutely love with I get them. #sarcasm
  best ,  If you like #iOS7 then you're gonna LOVE iOS7.0.2! Check your iPhones! This is gonna be the best EVER!  #sarcasm #cleveland
  best ,  originality at its best. #sarcasm
  best ,  RT @snoop_sarah_.  Well isn't this the best emoticon story ever told #sarcasm http. //t.co/LhsuQWsH5R
  best ,  RT @corrineee13.  Friday nights at home are the best #sarcasm
  best ,  @MikeCorcoranNHL what?! Now way that was by far the best special teams play I've seen #sarcasm
  best ,  @cascoat014 ...no she's my best friend #sarcasm
  best ,  Ponytail man working at @McDonalds in Ankeny you sir are middle management at its best. #sarcasm
  best ,  Lol if I'm not better in 24 hours I get to go to the ER. Thank you to my lovely kidneys. You two are the best. #Sarcasm #NeedNewOnes
  best ,  RT @sobrifadzil.  well basically
  best ,  This is the best time ever to be getting sick #sarcasm
  best ,  RT @JamesSmith2511.  Cheers Monkseaton High for the award! Best achievement of my life! #sarcasm #ironic
  best ,  Well if this isnt the best day ever
  best ,  Today has been the best day ever. #sarcasm
  best ,  Hey the 90's were great it was the best four months of my life. #sarcasm #ImNotANinetiesKid
  best ,  @nanni_christine those are always the best moments #sarcasm
  best ,  #foxnewsfacts what Twitter was made for! British humour at its best! #sarcasm #stevenemerson #DoucheOfTheDay
  best ,  People whose brains are best equipped to understand sarcasm tend to have aggressive personalities - Albert Katz #Sarcasm
  best ,  @ali_brooke_ always has the best comebacks #sarcasm
  best ,  Someone hit my PARKED car while I was working. Can you say best birthday ever. #sarcasm
  best ,  Erick Rowan has the best theme on the roster. #Sarcasm #Raw
  best ,  RT @NSlade56.  Being a rebound is one of the best feelings in the world! #sarcasm
  best ,  @chetan_bhagat Rahul should search for another profession
  best ,  Night time thinking is the best.... #Sarcasm
  best ,  Well I got the best Christmas present ever. #Sarcasm
  best ,  RT @wut_the_frick95.  Colors of the wind wasn't our best song
  best ,  I have the best sister in the world. #Sarcasm
  best ,  And its usually best served with a smile....=D --- Goodmorning. #SeriouslyThough #Sarcasm http. //t.co/8Zi94dvzQZ
  best ,  Best texter ever . )))) #sarcasm http. //t.co/p391SMbBVK
